2018,
Team Lebron,Team Stephen
Kyrie Irving,Stephen Curry
Kevin Durant,James Harden
Lebron James,DeMar DeRozan
DeMarcus Cousins,Giannis Anteto.
Anthony Davis,Joel Embiid
Bradley Beal,Al Horford
LaMarcus Aldridge,Jimmy Butler
Kevin Love,Draymond Green
Russell Westbrook,Damian Lillard
Victor Oladipo,Klay Thompson
Kristaps Porzingis,Karl-Anthony Towns
John Wall,Kyle Lowry
Andre Drummond,
Goran Dragic,
Kemba Walker,
Paul George,
,
2017,
EAST,WEST
Kyrie Irving,Stephen Curry
DeMar DeRozan,James Harden
Lebron James,Kevin Durant
Giannis Anteto.,Kawhi Leonard
Jimmy Butler,Anthony Davis
Isaiah Thomas,Russell Westbrook
Kyle Lowry,Klay Thompson
Kemba Walker,Gordon Hayward
Paul George,DeMarcus Cousins
Kevin Love,Draymond Green
Paul Millsap,DeAndre Jordan
John Wall,Marc Gasol
Carmelo Anthony,
,
2016,
EAST,WEST
Kyle Lowry,Stephen Curry
Dwyane Wade,Russell Westbrook
Lebron James,Kobe Bryant
Paul George,Kevin Durant
Carmelo Anthony,Kawhi Leonard
John Wall,Chris Paul
Isiah Thomas,James Harden
Jimmy Butler,Klay Thompson
DeMar DeRozan,Draymond Green
Paul Millsap,Anthony Davis
Chris Bosh,LaMarcus Aldridge
Andre Drummond,DeMarcus Cousins
Pau Gasol,
Al Horford,
,
2015,
EAST,WEST
John Wall,Stephen Curry
Kyle Lowry,Kobe Bryant
Lebron James,Anthony Davis
Carmelo Anthony,Blake Griffin
Pau Gasol,Marc Gasol
Chris Bosh,LaMarcus Aldridge
Dwyane Wade,Tim Duncan
Paul Millsap,James Harden
Kyrie Irving,Kevin Durant
Al Horford,Chris Paul
Jimmy Butler,Russell Westbrook
Jeff Teague,Klay Thompson
Kyle Korver,DeMarcus Cousins
,Damian Lillard
,Dirk Nowitzki
,
2014,
EAST,WEST
Kyrie Irving,Stephen Curry
Dwyane Wade,Kobe Bryant
Paul George,Kevin Durant
Carmelo Anthony,Blake Griffin
Lebron James,Kevin Love
John Wall,Chris Paul
DeMar DeRozan,James Harden
Joe Johnson,LaMarcus Aldridge
Chris Bosh,Dwight Howard
Roy Hibbert,Tony Parker
Paul Millsap,Damian Lillard
Joakim Noah,Dirk Nowitzki
,Anthony Davis
,
2013,
EAST,WEST
Rajon Rondo,Chris Paul
Dwyane Wade,Kobe Bryant
Lebron James,Kevin Durant
Carmelo Anthony,Blake Griffin
Kevin Garnett,Dwight Howard
Chris Bosh,LaMarcus Aldridge
Tyson Chandler,Tim Duncan
Luol Deng,James Harden
Paul George,David Lee
Jrue Holiday,Tony Parker
Kyrie Irving,Zach Randolph
Joakim Noah,Russell Westbrook
,
2012,
EAST,WEST
Lebron James,Kevin Durant
Carmelo Anthony,Blake Griffin
Dwight Howard,Andrew Bynum
Derrick Rose,Kobe Bryant
Dwyane Wade,Chris Paul
Chris Bosh,Kevin Love
Roy Hibbert,Russell Westbrook
Paul Pierce,Dirk Nowtzki
Deron Williams,Marc Gasol
Luol Deng,LaMarcus Aldridge
Andre Iguodala,Tony Parker
Rajon Rondo,Steve Nash
Joe Johnson,
,
2011,
EAST,WEST
Lebron James,Kevin Durant
Amar’e Stoudemire,Carmelo Anthony
Dwight Howard,Yao Ming
Derrick Rose,Kobe Bryant
Dwyane Wade,Chris Paul
Chris Bosh,Pau Gasol
Ray Allen,Russell Westbrook
Paul Pierce,Dirk Nowitzki
Rajon Rondo,Tim Duncan
Kevin Garnett,Manu Ginobili
Al Horford,Deron Williams
Joe Johnson,Blake Griffin
,Kevin Love
,
2010,
EAST,WEST
Lebron James,Amare Stoudemire
Kevin Garnett,Tim Duncan
Dwight Howard,Carmelo Anthony
Allen Iverson,Kobe Bryant
Dwyane Wade,Steve Nash
Joe Johnson,Pau Gasol
Derrick Rose,Kevin Durant
Paul Pierce,Dirk Nowitzki
Rajon Rondo,Brandon Roy
Gerald Wallace,Chris Paul
Al Horford,Deron Williams
Chris Bosh,Zach Randolph
David Lee,Chauncey Billups
,Chris Kaman
,Jason Kidd
,
2009,
EAST,WEST
Lebron James,Amare Stoudemire
Kevin Garnett,Tim Duncan
Dwight Howard,Yao Ming
Allen Iverson,Kobe Bryant
Dwyane Wade,Chris Paul
Joe Johnson,Pau Gasol
Devin Harris,Shaquille O’Neal
Paul Pierce,Dirk Nowitzki
Ray Allen,Brandon Roy
Rashard Lewis,Chauncey Billups
Danny Granger,Tony Parker
Mo Williams,David West
Chris Bosh,
Jameer Nelson,
,
2008,
EAST,WEST
Jason Kidd,Allen Iverson
Dwyane Wade,Kobe Bryant
Chris Bosh,Tim Duncan
Lebron James,Carmelo Anthony
Dwight Howard,Yao Ming
Ray Allen,Brandon Roy
Chauncey Billups,Chris Paul
Richard Hamilton,Dirk Nowitzki
Rasheed Wallace,Amare Stoudemire
Joe Johnson,Steve Nash
Paul Pierce,Carlos Boozer
Antawn Jamison,David West
Caron Butler,
Kevin Garnett,
,
2007,
EAST,WEST
Gilbert Arenas,Kobe Bryant
Dwyane Wade,Tracy McGrady
Chris Bosh,Kevin Garnett
Lebron James,Dirk Nowitzki
Shaquille O’Neal,Tim Duncan
Jermaine O’Neal,Carmelo Anthony
Dwight Howard,Tony Parker
Joe Johnson,Shawn Marion
Chauncey Billups,Ray Allen
Vince Carter,Amare Stoudemire
Caron Butler,Josh Howard
Richard Hamilton,Mehmet Okur
Jason Kidd,Yao Ming
,Carlos Boozer
,Allen Iverson
,Steve Nash